county_fips,state_code,region,as_weighted_avg20062011,ba_weighted_avg20062011,be_weighted_avg20062011,cd_weighted_avg20062011,cr_weighted_avg20062011,hg_weighted_avg20062011,se_weighted_avg20062011,u_weighted_avg20002011
12117,FL,SE,0.47,10.66,0.16,0.04,1.38,0.14,0.86,0.35
12119,FL,SE,1.45,7.82,0.16,0.07,5.41,0.14,2.91,0.39
12127,FL,SE,0.51,9.18,0.17,0.04,0.17,0.14,0.67,0.44
12129,FL,SE,0.54,11.3,0.14,0.1,0.2,0.14,0.45,1.79
15003,HI,AKHI,0.35,1.83,0.14,0.04,0.76,0.14,0.42,0.35
15009,HI,AKHI,0.39,24.41,0.14,0.04,0.64,0.14,0.42,0.35
16001,ID,PNW,2.16,26.3,0.15,0.09,1.37,0.14,0.45,17.64
16005,ID,PNW,1.93,125.25,0.14,0.04,1.6,0.14,1.13,2.45
16007,ID,PNW,0.87,34.77,0.14,0.04,0.77,0.14,0.72,1.21
16009,ID,PNW,0.35,14.04,0.14,0.04,0.06,0.14,0.42,4.03
16011,ID,PNW,1.79,103.01,0.14,0.04,1.25,0.14,0.43,1.09
16013,ID,PNW,0.36,72.2,0.14,0.04,0.27,0.14,1.02,0.54
16015,ID,PNW,3.16,18.76,0.14,0.05,1.22,0.23,0.42,1.08
16019,ID,PNW,1.09,78.18,0.14,0.04,0.13,0.14,0.42,1.01
16027,ID,PNW,3.93,40.94,0.14,0.04,2.59,0.14,0.44,8.64
16029,ID,PNW,0.48,55.72,0.14,0.04,0.49,0.14,1.39,1.98
16033,ID,PNW,1.21,21.1,0.14,0.04,2.68,0.14,0.42,1.1
16035,ID,PNW,0.44,10.85,0.14,0.04,0.1,0.14,0.71,0.35
16037,ID,PNW,1.07,50.96,0.14,0.08,0.75,0.14,0.77,4.23
16039,ID,PNW,0.89,6.06,0.15,0.04,3.17,0.14,0.43,1.37
16043,ID,PNW,3.02,17.06,0.14,0.04,0.06,0.14,0.46,0.85
16045,ID,PNW,0.54,0.97,0.14,0.04,1.15,0.14,0.42,0.39
16049,ID,PNW,0.69,24.24,0.14,0.04,0.78,0.14,0.57,0.37
16051,ID,PNW,2.49,20.76,0.14,0.04,0.17,0.14,0.42,0.55
16053,ID,PNW,0.43,6.29,0.14,0.04,0.14,0.14,0.49,0.46
16055,ID,PNW,3.81,22.5,0.14,0.04,0.06,0.14,0.42,1.68
16063,ID,PNW,0.96,1.69,0.14,0.04,2.52,0.14,0.46,0.86
16065,ID,PNW,1.22,1.41,0.14,0.04,0.06,0.14,1.58,2.93
16067,ID,PNW,2.03,220.4,0.14,0.04,0.17,0.14,0.46,0.81
16071,ID,PNW,2.33,28.5,0.14,0.04,1.03,0.14,0.42,1.87
16073,ID,PNW,5.04,97.86,0.14,0.04,2.03,0.14,0.75,10.88
16075,ID,PNW,9.9,8.49,0.14,0.04,2.87,0.14,0.42,7.81
16077,ID,PNW,7.02,140.08,0.14,0.04,1.33,0.14,3.1,11.44
16081,ID,PNW,0.59,14.28,0.14,0.04,0.06,0.14,0.42,2.84
16083,ID,PNW,9.27,12.38,0.14,0.04,3.38,0.14,0.72,9.5
17007,IL,EMW,0.7,180.71,0.14,0.04,0.06,0.14,0.51,0.36
17011,IL,EMW,3.5,108.32,0.14,0.04,0.45,0.14,0.66,0.47
17015,IL,EMW,0.44,218.31,0.14,0.04,0.06,0.14,0.49,1.04
17019,IL,EMW,1.42,64.73,0.14,0.04,0.06,0.14,0.42,0.35
17023,IL,EMW,2.36,140.89,0.14,0.04,0.06,0.14,0.8,0.35
